precinct_name,dem,rep
City of Detroit AVCB 1,1245,21
City of Detroit AVCB 2,1484,75
City of Detroit AVCB 3,1509,33
City of Detroit AVCB 4,1414,34
City of Detroit AVCB 5,1373,27
City of Detroit AVCB 6,1971,65
City of Detroit AVCB 7,1378,25
City of Detroit AVCB 8,1319,18
City of Detroit AVCB 9,771,9
City of Detroit AVCB 10,734,6
City of Detroit AVCB 11,1435,58
City of Detroit AVCB 12,940,20
City of Detroit AVCB 13,985,19
City of Detroit AVCB 14,1354,21
City of Detroit AVCB 15,1437,15
City of Detroit AVCB 16,1662,27
City of Detroit AVCB 17,2185,56
City of Detroit AVCB 18,1702,29
City of Detroit AVCB 19,1806,45
City of Detroit AVCB 20,1842,23
City of Detroit AVCB 21,1685,28
City of Detroit AVCB 22,2020,24
City of Detroit AVCB 23,2250,92
City of Detroit AVCB 24,1972,52
City of Detroit AVCB 25,2632,127
City of Detroit AVCB 26,2657,103
City of Detroit AVCB 27,1895,35
City of Detroit AVCB 28,1781,19
City of Detroit AVCB 29,1622,56
City of Detroit AVCB 30,1657,35
City of Detroit AVCB 31,1803,27
City of Detroit AVCB 32,1515,34
City of Detroit AVCB 33,2121,44
City of Detroit AVCB 34,1372,19
City of Detroit AVCB 35,1234,40
City of Detroit AVCB 36,2079,50
City of Detroit AVCB 37,1858,24
City of Detroit AVCB 38,2302,47
City of Detroit AVCB 39,1681,57
City of Detroit AVCB 40,1720,37
City of Detroit AVCB 41,1375,24
City of Detroit AVCB 42,967,22
City of Detroit AVCB 43,1332,16
City of Detroit AVCB 44,1294,11
City of Detroit AVCB 45,1231,14
City of Detroit AVCB 46,1197,25
City of Detroit AVCB 47,974,13
City of Detroit AVCB 48,950,18
City of Detroit AVCB 49,826,18
City of Detroit AVCB 50,1365,23
City of Detroit AVCB 51,1586,27
City of Detroit AVCB 52,1671,52
City of Detroit AVCB 53,952,23
City of Detroit AVCB 54,827,27
City of Detroit AVCB 55,2104,115
City of Detroit AVCB 56,1214,19
City of Detroit AVCB 57,1355,32
City of Detroit AVCB 58,1493,26
City of Detroit AVCB 59,879,16
City of Detroit AVCB 60,1132,25
City of Detroit AVCB 61,492,9
City of Detroit AVCB 62,1777,71
City of Detroit AVCB 63,1535,49
City of Detroit AVCB 64,1484,35
City of Detroit AVCB 65,1707,35
City of Detroit AVCB 66,1431,22
City of Detroit AVCB 67,1399,16
City of Detroit AVCB 68,1038,17
City of Detroit AVCB 69,933,14
City of Detroit AVCB 70,776,12
City of Detroit AVCB 71,377,11
City of Detroit AVCB 72,1178,13
City of Detroit AVCB 73,1298,32
City of Detroit AVCB 74,970,34
City of Detroit AVCB 75,1413,39
City of Detroit AVCB 76,509,2
City of Detroit AVCB 77,1481,28
City of Detroit AVCB 78,1399,26
City of Detroit AVCB 79,1010,16
City of Detroit AVCB 80,568,12
City of Detroit AVCB 81,818,18
City of Detroit AVCB 82,529,49
City of Detroit AVCB 83,721,65
City of Detroit AVCB 84,764,60
City of Detroit AVCB 85,472,25
City of Detroit AVCB 86,1188,62
City of Detroit AVCB 87,1096,92
City of Detroit AVCB 88,1621,176
City of Detroit AVCB 89,1718,59
City of Detroit AVCB 90,361,5
City of Detroit AVCB 91,447,8
City of Detroit AVCB 92,743,13
City of Detroit AVCB 93,824,13
City of Detroit AVCB 94,1132,18
City of Detroit AVCB 95,1450,20
City of Detroit AVCB 96,804,9
City of Detroit AVCB 97,264,2
City of Detroit AVCB 98,328,4
City of Detroit AVCB 99,284,3
City of Detroit AVCB 100,109,7
City of Detroit AVCB 101,171,1
City of Detroit AVCB 102,293,5
City of Detroit AVCB 103,155,1
City of Detroit AVCB 104,213,8
City of Detroit AVCB 105,4,0
City of Detroit AVCB 106,11,0
City of Detroit AVCB 107,145,2
City of Detroit AVCB 108,285,5
City of Detroit AVCB 109,337,0
City of Detroit AVCB 110,169,12
City of Detroit AVCB 111,42,0
City of Detroit AVCB 112,284,8
City of Detroit AVCB 113,3,0
City of Detroit AVCB 114,255,11
City of Detroit AVCB 115,51,2
City of Detroit AVCB 116,273,7
City of Detroit AVCB 117,353,5
City of Detroit AVCB 118,20,0
City of Detroit AVCB 119,139,2
City of Detroit AVCB 120,441,13
City of Detroit AVCB 121,208,3
City of Detroit AVCB 122,325,9
City of Detroit AVCB 123,200,3
City of Detroit AVCB 124,231,5
City of Detroit AVCB 125,4,0
City of Detroit AVCB 126,43,0
City of Detroit AVCB 127,3,0
City of Detroit AVCB 128,115,13
City of Detroit AVCB 129,14,1
City of Detroit AVCB 130,232,0
City of Detroit AVCB 131,126,2
City of Detroit AVCB 132,96,1
City of Detroit AVCB 133,262,3
City of Detroit AVCB 134,304,3
