precinct_name,biden,trump
City of Detroit AVCB 1,1463,32
City of Detroit AVCB 2,1852,131
City of Detroit AVCB 3,1806,71
City of Detroit AVCB 4,1776,72
City of Detroit AVCB 5,1808,56
City of Detroit AVCB 6,2393,124
City of Detroit AVCB 7,1850,71
City of Detroit AVCB 8,1652,38
City of Detroit AVCB 9,925,22
City of Detroit AVCB 10,904,14
City of Detroit AVCB 11,2024,90
City of Detroit AVCB 12,1473,53
City of Detroit AVCB 13,1513,48
City of Detroit AVCB 14,1709,38
City of Detroit AVCB 15,1707,39
City of Detroit AVCB 16,2023,55
City of Detroit AVCB 17,2546,103
City of Detroit AVCB 18,2028,50
City of Detroit AVCB 19,2188,94
City of Detroit AVCB 20,2195,45
City of Detroit AVCB 21,2037,47
City of Detroit AVCB 22,2337,57
City of Detroit AVCB 23,2662,163
City of Detroit AVCB 24,2781,100
City of Detroit AVCB 25,3099,186
City of Detroit AVCB 26,3211,171
City of Detroit AVCB 27,2290,59
City of Detroit AVCB 28,2235,47
City of Detroit AVCB 29,2079,84
City of Detroit AVCB 30,2036,70
City of Detroit AVCB 31,2237,61
City of Detroit AVCB 32,2121,68
City of Detroit AVCB 33,2508,80
City of Detroit AVCB 34,1710,44
City of Detroit AVCB 35,1698,83
City of Detroit AVCB 36,2795,93
City of Detroit AVCB 37,2178,51
City of Detroit AVCB 38,2641,87
City of Detroit AVCB 39,2204,101
City of Detroit AVCB 40,2169,74
City of Detroit AVCB 41,1679,35
City of Detroit AVCB 42,1135,38
City of Detroit AVCB 43,1614,25
City of Detroit AVCB 44,1544,29
City of Detroit AVCB 45,1449,33
City of Detroit AVCB 46,1426,34
City of Detroit AVCB 47,1145,29
City of Detroit AVCB 48,1112,23
City of Detroit AVCB 49,964,28
City of Detroit AVCB 50,1665,34
City of Detroit AVCB 51,1857,39
City of Detroit AVCB 52,1941,88
City of Detroit AVCB 53,1113,35
City of Detroit AVCB 54,1003,32
City of Detroit AVCB 55,2304,169
City of Detroit AVCB 56,1450,35
City of Detroit AVCB 57,1599,56
City of Detroit AVCB 58,1745,39
City of Detroit AVCB 59,1010,36
City of Detroit AVCB 60,1290,37
City of Detroit AVCB 61,555,12
City of Detroit AVCB 62,2157,117
City of Detroit AVCB 63,1870,85
City of Detroit AVCB 64,1747,50
City of Detroit AVCB 65,2063,67
City of Detroit AVCB 66,1644,38
City of Detroit AVCB 67,1607,30
City of Detroit AVCB 68,1237,27
City of Detroit AVCB 69,1061,29
City of Detroit AVCB 70,893,20
City of Detroit AVCB 71,445,15
City of Detroit AVCB 72,1490,33
City of Detroit AVCB 73,1644,44
City of Detroit AVCB 74,1264,62
City of Detroit AVCB 75,1995,69
City of Detroit AVCB 76,571,7
City of Detroit AVCB 77,1791,48
City of Detroit AVCB 78,1694,42
City of Detroit AVCB 79,1210,28
City of Detroit AVCB 80,702,18
City of Detroit AVCB 81,978,26
City of Detroit AVCB 82,803,89
City of Detroit AVCB 83,1045,100
City of Detroit AVCB 84,984,114
City of Detroit AVCB 85,672,41
City of Detroit AVCB 86,1654,125
City of Detroit AVCB 87,1338,143
City of Detroit AVCB 88,1956,274
City of Detroit AVCB 89,2093,104
City of Detroit AVCB 90,432,14
City of Detroit AVCB 91,508,12
City of Detroit AVCB 92,879,20
City of Detroit AVCB 93,948,27
City of Detroit AVCB 94,1385,32
City of Detroit AVCB 95,1691,29
City of Detroit AVCB 96,949,19
City of Detroit AVCB 97,327,7
City of Detroit AVCB 98,375,9
City of Detroit AVCB 99,364,7
City of Detroit AVCB 100,137,12
City of Detroit AVCB 101,198,2
City of Detroit AVCB 102,357,9
City of Detroit AVCB 103,190,3
City of Detroit AVCB 104,284,12
City of Detroit AVCB 105,6,0
City of Detroit AVCB 106,12,0
City of Detroit AVCB 107,169,7
City of Detroit AVCB 108,341,10
City of Detroit AVCB 109,406,2
City of Detroit AVCB 110,201,15
City of Detroit AVCB 111,48,7
City of Detroit AVCB 112,338,14
City of Detroit AVCB 113,3,0
City of Detroit AVCB 114,325,33
City of Detroit AVCB 115,64,6
City of Detroit AVCB 116,321,12
City of Detroit AVCB 117,443,5
City of Detroit AVCB 118,23,0
City of Detroit AVCB 119,156,5
City of Detroit AVCB 120,626,25
City of Detroit AVCB 121,241,7
City of Detroit AVCB 122,471,31
City of Detroit AVCB 123,233,11
City of Detroit AVCB 124,283,7
City of Detroit AVCB 125,7,0
City of Detroit AVCB 126,66,0
City of Detroit AVCB 127,4,0
City of Detroit AVCB 128,140,15
City of Detroit AVCB 129,16,2
City of Detroit AVCB 130,263,4
City of Detroit AVCB 131,136,3
City of Detroit AVCB 132,112,3
City of Detroit AVCB 133,310,8
City of Detroit AVCB 134,344,4
