precinct_name,votes_cast,blankenship,trump,hawkins,jorgensen,biden,fuente
ARMADATOWNSHIP01,2150,2,1453,2,22,657,2
ARMADATOWNSHIP02,1358,0,988,3,18,343,0
BRUCETOWNSHIP01,1156,3,648,4,13,480,0
BRUCETOWNSHIP02,2083,2,1469,2,9,588,3
BRUCETOWNSHIP03,1390,1,951,6,14,410,0
BRUCETOWNSHIP04,1507,2,1084,2,6,403,0
CENTERLINE01,950,3,419,3,12,509,0
CENTERLINE02,848,2,277,4,14,542,1
CENTERLINE03,1261,0,471,9,12,761,1
CENTERLINE04,612,3,262,0,5,339,0
CENTERLINE05,613,2,267,0,6,336,1
CHESTERFIELDTOWNSHIP01,1582,1,949,3,11,606,0
CHESTERFIELDTOWNSHIP02,1669,2,1041,4,17,599,0
CHESTERFIELDTOWNSHIP03,1288,3,861,3,5,414,0
CHESTERFIELDTOWNSHIP04,1302,0,762,5,7,520,0
CHESTERFIELDTOWNSHIP05,1535,2,948,4,14,557,2
CHESTERFIELDTOWNSHIP06,1451,0,950,3,12,480,0
CHESTERFIELDTOWNSHIP07,1207,1,760,0,10,428,1
CHESTERFIELDTOWNSHIP08,1231,0,788,2,16,413,2
CHESTERFIELDTOWNSHIP09,1482,2,837,5,10,614,2
CHESTERFIELDTOWNSHIP10,1979,2,1397,3,16,549,0
CHESTERFIELDTOWNSHIP11,1304,0,809,5,11,474,1
CHESTERFIELDTOWNSHIP12,1712,1,905,6,19,775,0
CHESTERFIELDTOWNSHIP13,1880,0,1106,3,15,746,0
CHESTERFIELDTOWNSHIP14,1141,0,731,4,8,390,0
CHESTERFIELDTOWNSHIP15,1872,2,1146,5,21,687,1
CHESTERFIELDTOWNSHIP16,1310,4,838,3,17,444,0
CHESTERFIELDTOWNSHIP17,1144,4,487,2,18,628,0
CHESTERFIELDTOWNSHIP18,1156,0,690,0,15,444,0
CHESTERFIELDTOWNSHIP19,1334,2,760,3,19,544,1
CLINTONTOWNSHIP01,1193,3,615,2,5,559,1
CLINTONTOWNSHIP02,574,0,323,3,10,236,0
CLINTONTOWNSHIP03,1435,4,648,6,18,748,3
CLINTONTOWNSHIP04,360,0,189,0,1,169,0
CLINTONTOWNSHIP05,1032,4,111,3,3,902,1
