precinct_name,votes_cast,dem,grn,lib,nlp,rep,ust,wc
ARMADATOWNSHIP01,2150,245,1,4,1,743,1,5
ARMADATOWNSHIP02,1358,125,2,4,1,520,2,2
BRUCETOWNSHIP01,1156,219,1,3,1,349,1,3
BRUCETOWNSHIP02,2083,228,0,3,0,816,0,3
BRUCETOWNSHIP03,1390,183,1,5,0,541,0,0
BRUCETOWNSHIP04,1507,152,1,0,0,592,1,0
CENTERLINE01,950,315,1,3,0,250,2,3
CENTERLINE02,848,403,3,5,0,143,4,6
CENTERLINE03,1261,555,2,13,1,268,2,14
CENTERLINE04,612,238,0,1,1,154,1,4
CENTERLINE05,613,223,5,1,1,171,0,5
CHESTERFIELDTOWNSHIP01,1582,286,0,3,2,499,3,2
CHESTERFIELDTOWNSHIP02,1669,294,2,6,0,550,0,8
CHESTERFIELDTOWNSHIP03,1288,177,1,1,1,450,1,4
CHESTERFIELDTOWNSHIP04,1302,310,3,2,1,460,0,4
CHESTERFIELDTOWNSHIP05,1535,267,2,4,0,477,0,5
CHESTERFIELDTOWNSHIP06,1451,253,1,5,0,473,0,2
CHESTERFIELDTOWNSHIP07,1207,205,1,3,0,412,1,6
CHESTERFIELDTOWNSHIP08,1231,200,2,4,0,426,2,4
CHESTERFIELDTOWNSHIP09,1482,358,3,6,0,469,0,6
CHESTERFIELDTOWNSHIP10,1979,243,2,7,0,756,0,4
CHESTERFIELDTOWNSHIP11,1304,243,4,11,1,440,0,6
CHESTERFIELDTOWNSHIP12,1712,493,2,10,0,514,1,9
CHESTERFIELDTOWNSHIP13,1880,383,3,6,0,587,1,1
CHESTERFIELDTOWNSHIP14,1141,199,0,3,0,380,3,5
CHESTERFIELDTOWNSHIP15,1872,359,4,12,0,641,1,9
CHESTERFIELDTOWNSHIP16,1310,227,0,3,0,489,2,4
CHESTERFIELDTOWNSHIP17,1144,460,6,12,0,308,5,3
CHESTERFIELDTOWNSHIP18,1156,198,1,7,0,350,0,5
CHESTERFIELDTOWNSHIP19,1334,276,2,9,1,401,2,6
CLINTONTOWNSHIP01,1193,270,2,3,1,330,2,8
CLINTONTOWNSHIP02,574,125,1,2,0,172,2,4
CLINTONTOWNSHIP03,1435,477,4,13,1,394,0,12
CLINTONTOWNSHIP04,360,117,0,1,0,102,0,4
CLINTONTOWNSHIP05,1032,712,2,0,2,56,5,8
CLINTONTOWNSHIP06,1351,569,4,10,1,233,3,8
CLINTONTOWNSHIP07,654,191,2,3,1,172,0,5
CLINTONTOWNSHIP08,1060,331,0,3,0,265,0,4
CLINTONTOWNSHIP09,731,188,2,8,0,197,0,5
CLINTONTOWNSHIP10,1002,153,0,7,0,323,0,0
CLINTONTOWNSHIP11,1268,492,4,1,1,303,1,8
CLINTONTOWNSHIP12,641,211,2,1,1,143,3,5
CLINTONTOWNSHIP13,1498,484,6,10,2,483,1,6
CLINTONTOWNSHIP14,531,110,1,2,0,184,1,2
CLINTONTOWNSHIP15,1020,294,3,2,0,300,5,8
CLINTONTOWNSHIP16,1346,429,1,4,1,397,2,3
CLINTONTOWNSHIP17,1052,272,2,10,0,325,0,2
CLINTONTOWNSHIP18,1040,197,2,3,0,325,1,1
CLINTONTOWNSHIP19,1087,208,2,2,1,298,1,3
CLINTONTOWNSHIP20,366,220,0,4,1,53,1,4
CLINTONTOWNSHIP21,725,301,0,0,0,139,2,4
CLINTONTOWNSHIP22,1495,710,2,5,3,294,2,7
CLINTONTOWNSHIP23,1604,343,1,6,0,451,2,7
