precinct_name,biden,trump,jorgensen,blankenship,hawkins,de_la_fuente,rej,una
City of Ann Arbor. Ward 1. Precinct 1,829,102,3,0,1,0,0,1
City of Ann Arbor. Ward 1. Precinct 2,984,118,9,2,3,0,0,3
City of Ann Arbor. Ward 1. Precinct 3,648,42,1,0,2,0,0,4
City of Ann Arbor. Ward 1. Precinct 4,587,48,2,0,2,0,0,2
City of Ann Arbor. Ward 1. Precinct 5,1057,93,8,0,4,0,0,3
City of Ann Arbor. Ward 1. Precinct 6,811,66,6,1,2,0,0,2
City of Ann Arbor. Ward 1. Precinct 7,467,58,5,0,2,0,0,0
City of Ann Arbor. Ward 1. Precinct 8,1246,134,6,0,2,0,0,4
City of Ann Arbor. Ward 1. Precinct 9,1150,164,14,4,4,0,0,7
City of Ann Arbor. Ward 1. Precinct 10,1413,166,6,3,11,3,0,5
City of Ann Arbor. Ward 1. Precinct 11,765,195,5,0,1,0,0,3
City of Ann Arbor. Ward 1. Precinct 12,516,55,3,0,1,0,0,1
City of Ann Arbor. Ward 2. Precinct 1,589,72,8,0,4,1,0,1
City of Ann Arbor. Ward 2. Precinct 2,735,98,3,1,1,1,0,3
City of Ann Arbor. Ward 2. Precinct 3,887,97,5,0,0,0,0,3
City of Ann Arbor. Ward 2. Precinct 4,1216,166,8,0,1,0,0,2
City of Ann Arbor. Ward 2. Precinct 5,1293,203,10,0,3,0,0,7
City of Ann Arbor. Ward 2. Precinct 6,1279,221,11,0,1,0,0,4
City of Ann Arbor. Ward 2. Precinct 7,1436,225,10,0,4,2,0,4
City of Ann Arbor. Ward 2. Precinct 8,1155,205,7,2,4,0,0,7
City of Ann Arbor. Ward 2. Precinct 9,1528,266,15,2,5,0,0,6
City of Ann Arbor. Ward 3. Precinct 1,1245,157,12,0,0,0,0,1
City of Ann Arbor. Ward 3. Precinct 2,1401,161,6,0,0,2,0,4
City of Ann Arbor. Ward 3. Precinct 3,1161,87,5,0,1,0,0,3
City of Ann Arbor. Ward 3. Precinct 4,1161,124,12,0,2,0,0,14
City of Ann Arbor. Ward 3. Precinct 5,1435,278,17,1,11,0,0,2
City of Ann Arbor. Ward 3. Precinct 6,1038,166,14,0,3,2,0,2
City of Ann Arbor. Ward 3. Precinct 7,969,172,11,0,2,0,0,6
City of Ann Arbor. Ward 3. Precinct 8,1284,218,11,1,7,1,0,5
City of Ann Arbor. Ward 3. Precinct 9,1321,252,13,0,7,0,0,0
City of Ann Arbor. Ward 3. Precinct 10,1110,133,10,1,6,0,0,3
City of Ann Arbor. Ward 4. Precinct 1,764,90,4,0,0,0,0,2
City of Ann Arbor. Ward 4. Precinct 2,750,50,8,0,3,0,0,2
City of Ann Arbor. Ward 4. Precinct 3,1339,152,6,0,3,0,0,6
City of Ann Arbor. Ward 4. Precinct 4,1431,171,20,1,4,0,0,6
City of Ann Arbor. Ward 4. Precinct 5,1465,168,14,0,10,0,0,7
City of Ann Arbor. Ward 4. Precinct 6,1415,215,9,3,2,1,0,8
City of Ann Arbor. Ward 4. Precinct 7,1434,222,13,0,5,2,0,4
City of Ann Arbor. Ward 4. Precinct 8,1386,184,22,0,11,1,0,1
