precinct_name,dem,rep,lib,ust,wcp,grn,nat
City of Ann Arbor. Ward 1. Precinct 1,563,76,5,0,1,2,1
City of Ann Arbor. Ward 1. Precinct 2,591,63,3,2,0,3,1
City of Ann Arbor. Ward 1. Precinct 3,368,15,2,0,0,3,0
City of Ann Arbor. Ward 1. Precinct 4,314,26,0,0,0,2,0
City of Ann Arbor. Ward 1. Precinct 5,533,52,4,0,1,1,0
City of Ann Arbor. Ward 1. Precinct 6,460,34,3,0,0,2,0
City of Ann Arbor. Ward 1. Precinct 7,311,32,2,0,0,1,0
City of Ann Arbor. Ward 1. Precinct 8,615,68,2,0,0,1,0
City of Ann Arbor. Ward 1. Precinct 9,692,115,6,2,0,1,0
City of Ann Arbor. Ward 1. Precinct 10,830,82,2,1,3,8,0
City of Ann Arbor. Ward 1. Precinct 11,453,104,2,3,0,0,0
City of Ann Arbor. Ward 1. Precinct 12,357,37,3,0,0,1,0
City of Ann Arbor. Ward 2. Precinct 1,334,49,3,0,0,4,0
City of Ann Arbor. Ward 2. Precinct 2,527,73,7,0,0,2,0
City of Ann Arbor. Ward 2. Precinct 3,553,71,4,0,0,1,0
City of Ann Arbor. Ward 2. Precinct 4,611,78,4,0,0,0,0
City of Ann Arbor. Ward 2. Precinct 5,661,107,3,0,0,3,0
City of Ann Arbor. Ward 2. Precinct 6,646,119,2,0,0,1,0
City of Ann Arbor. Ward 2. Precinct 7,812,139,1,0,0,1,0
City of Ann Arbor. Ward 2. Precinct 8,629,117,2,2,1,2,0
City of Ann Arbor. Ward 2. Precinct 9,799,151,7,0,2,2,0
City of Ann Arbor. Ward 3. Precinct 1,877,120,6,0,1,2,0
City of Ann Arbor. Ward 3. Precinct 2,970,118,2,0,0,1,1
City of Ann Arbor. Ward 3. Precinct 3,598,42,1,0,0,0,0
City of Ann Arbor. Ward 3. Precinct 4,607,63,7,0,0,0,0
City of Ann Arbor. Ward 3. Precinct 5,1030,181,2,4,8,7,1
City of Ann Arbor. Ward 3. Precinct 6,626,94,8,1,3,2,1
City of Ann Arbor. Ward 3. Precinct 7,470,98,4,0,1,0,0
City of Ann Arbor. Ward 3. Precinct 8,657,117,5,1,2,5,1
City of Ann Arbor. Ward 3. Precinct 9,837,155,5,0,4,4,0
City of Ann Arbor. Ward 3. Precinct 10,568,67,0,1,0,3,0
City of Ann Arbor. Ward 4. Precinct 1,520,61,2,0,0,1,0
City of Ann Arbor. Ward 4. Precinct 2,439,28,0,0,1,2,0
City of Ann Arbor. Ward 4. Precinct 3,736,98,6,0,0,0,0
City of Ann Arbor. Ward 4. Precinct 4,674,87,3,1,0,4,0
City of Ann Arbor. Ward 4. Precinct 5,748,101,1,0,0,5,0
City of Ann Arbor. Ward 4. Precinct 6,709,124,2,0,2,2,0
City of Ann Arbor. Ward 4. Precinct 7,718,114,0,0,0,2,1
City of Ann Arbor. Ward 4. Precinct 8,803,101,5,0,2,4,0
City of Ann Arbor. Ward 4. Precinct 9,525,107,0,0,1,0,0
City of Ann Arbor. Ward 4. Precinct 10,471,124,2,1,0,1,1
City of Ann Arbor. Ward 5. Precinct 1,509,42,1,0,3,2,0
City of Ann Arbor. Ward 5. Precinct 2,807,53,4,1,0,0,0
City of Ann Arbor. Ward 5. Precinct 3,449,29,2,0,4,2,0
City of Ann Arbor. Ward 5. Precinct 4,743,42,1,0,0,0,0
City of Ann Arbor. Ward 5. Precinct 5,752,71,5,1,2,1,0
City of Ann Arbor. Ward 5. Precinct 6,719,62,0,0,2,1,0
City of Ann Arbor. Ward 5. Precinct 7,535,73,2,0,4,1,0
City of Ann Arbor. Ward 5. Precinct 8,394,80,0,0,0,2,0
City of Ann Arbor. Ward 5. Precinct 9,753,89,4,0,0,2,0
City of Ann Arbor. Ward 5. Precinct 10,836,137,6,0,4,1,1
City of Ann Arbor. Ward 5. Precinct 11,555,33,1,0,0,1,0
City of Ann Arbor. Ward 5. Precinct 12,381,62,1,0,1,3,1
City of Chelsea. Precinct 1,686,361,4,0,4,1,0
City of Chelsea. Precinct 2,548,317,0,2,3,3,0
City of Dexter. Precinct 1,286,174,1,0,0,0,0
City of Dexter. Precinct 2,421,164,3,0,1,0,0
City of Dexter. Precinct 3,260,105,0,0,0,1,0
City of Milan. Precinct 1W,630,567,5,3,6,1,2
City of Saline. Precinct 1,595,331,4,0,2,0,0
City of Saline. Precinct 2,447,271,6,0,4,0,0
City of Saline. Precinct 3,638,421,2,0,0,3,1
City of Ypsilanti. Ward 1. Precinct 1,761,46,0,2,4,3,1
City of Ypsilanti. Ward 1. Precinct 2,669,61,6,0,3,1,1
City of Ypsilanti. Ward 1. Precinct 3,511,74,2,3,4,2,1
City of Ypsilanti. Ward 2. Precinct 1,391,56,2,2,0,0,0
City of Ypsilanti. Ward 2. Precinct 2,490,68,1,0,0,4,0
City of Ypsilanti. Ward 2. Precinct 3,353,53,4,0,1,3,0
City of Ypsilanti. Ward 2. Precinct 4,381,25,3,2,1,1,0
City of Ypsilanti. Ward 3. Precinct 1,347,36,6,1,3,2,0
City of Ypsilanti. Ward 3. Precinct 2,466,66,3,0,4,2,1
City of Ypsilanti. Ward 3. Precinct 3,579,82,2,0,2,1,1
Ann Arbor Township. Precinct 1,497,226,5,0,1,0,0
Ann Arbor Township. Precinct 2,709,156,4,1,0,2,0
Augusta Township. Precinct 1,432,448,8,0,3,2,0
Augusta Township. Precinct 2,374,342,8,1,4,3,0
Augusta Township. Precinct 3,395,498,4,2,3,0,0
Bridgewater Township. Precinct 1,216,386,6,2,4,1,0
Dexter Township. Precinct 1,524,396,5,0,1,1,1
Dexter Township. Precinct 2,405,417,6,0,1,0,1
Dexter Township. Precinct 3,257,272,1,0,2,1,1
Freedom Township. Precinct 1,209,281,8,1,0,0,0
Lima Township. Precinct 1,260,338,3,0,2,1,0
Lima Township. Precinct 2,314,295,3,0,1,2,0
Lodi Township. Precinct 1,378,392,2,0,2,1,0
Lodi Township. Precinct 2,443,434,5,1,1,0,0
Lodi Township. Precinct 3,351,176,5,1,1,0,0
Lyndon Township. Precinct 1,478,502,5,0,1,4,0
Manchester Township. Precinct 1,315,326,5,2,3,2,0
Manchester Township. Precinct 2,314,586,4,2,4,2,1
Northfield Township. Precinct 1,489,551,5,1,8,6,1
Northfield Township. Precinct 2,304,589,4,0,2,2,0
Northfield Township. Precinct 3,316,403,5,1,3,2,1
Pittsfield Charter Township. Precinct 1,637,188,5,0,1,1,0
Pittsfield Charter Township. Precinct 2,627,146,3,1,1,0,0
Pittsfield Charter Township. Precinct 3,863,163,2,0,4,4,1
Pittsfield Charter Township. Precinct 4,856,147,4,2,3,5,1
Pittsfield Charter Township. Precinct 5,520,123,2,0,0,4,0
Pittsfield Charter Township. Precinct 6,774,380,6,1,1,2,0
Pittsfield Charter Township. Precinct 7,844,207,3,0,0,2,1
Pittsfield Charter Township. Precinct 8,308,191,2,0,0,1,0
Pittsfield Charter Township. Precinct 9,822,288,1,1,0,2,1
Pittsfield Charter Township. Precinct 10,997,192,6,0,4,2,0
Pittsfield Charter Township. Precinct 11,695,406,4,1,0,0,0
Pittsfield Charter Township. Precinct 12,488,352,4,0,2,3,0
Pittsfield Charter Township. Precinct 13,799,118,6,0,2,2,0
Salem Township. Precinct 1,267,566,1,0,2,1,0
Salem Township. Precinct 2,406,708,3,1,1,4,1
Salem Township. Precinct 3,227,413,3,0,1,1,0
Saline Township. Precinct 1,295,469,1,1,3,2,1
Scio Township. Precinct 1,747,157,0,0,1,0,0
Scio Township. Precinct 2,412,297,3,0,1,2,0
Scio Township. Precinct 3,625,183,0,0,0,2,0
Scio Township. Precinct 4,544,173,1,0,0,2,0
Scio Township. Precinct 5,465,160,8,2,5,3,1
Scio Township. Precinct 6,585,148,6,0,0,0,0
Scio Township. Precinct 7,907,219,5,0,1,3,1
Scio Township. Precinct 8,653,232,8,0,1,7,0
Sharon Township. Precinct 1,237,374,1,2,1,1,1
Superior Township. Precinct 1,522,278,1,1,0,2,1
Superior Township. Precinct 2,946,259,6,3,4,1,1
Superior Township. Precinct 3,716,65,5,0,5,1,1
Superior Township. Precinct 4,880,309,5,0,7,3,1
Superior Township. Precinct 5,787,511,3,0,4,1,1
Sylvan Township. Precinct 1,514,531,5,1,3,0,0
Webster Township. Precinct 1,376,396,1,1,2,4,0
Webster Township. Precinct 2,320,408,3,0,1,4,0
Webster Township. Precinct 3,500,334,3,1,1,0,1
York Township. Precinct 1,396,576,7,0,4,1,1
York Township. Precinct 2,406,562,5,1,1,0,0
York Township. Precinct 3,332,373,2,0,1,2,0
Ypsilanti Township. Precinct 1,964,120,7,2,8,3,1
Ypsilanti Township. Precinct 2,652,141,1,1,0,1,0
