precinct_name,rep,dem,lib,ust,grn,nlp,w1,w2,w3,w4,w5,w6,w7
Alamo #1,508,297,40,4,8,0,0,0,0,0,0,0,0
Alamo #2A,794,480,46,9,12,0,0,0,0,0,0,0,0
Brady #1,761,451,59,2,11,0,0,0,0,0,1,8,0
Brady #2A,765,277,60,5,4,0,0,0,0,1,0,0,0
Charleston #1A,624,355,41,6,16,2,0,0,0,0,0,0,0
Climax,808,348,42,2,13,0,0,0,0,0,0,0,0
Comstock #1A,753,480,65,9,19,0,0,0,0,0,0,1,0
Comstock #2,465,469,58,4,18,2,0,0,0,0,0,7,0
Comstock #3,245,223,31,3,7,0,0,0,0,0,0,0,0
Comstock #4,539,471,50,2,7,0,0,0,0,0,0,2,0
Comstock #5A,566,354,42,6,3,1,0,0,0,0,0,7,0
Comstock #6,508,624,58,3,19,0,0,0,0,0,0,1,0
Comstock #7,195,348,35,2,10,1,0,0,0,0,0,5,0
Comstock #8,529,513,42,2,8,1,0,0,0,0,1,6,0
Cooper #1A,411,297,23,6,7,0,0,0,0,0,0,1,0
Cooper #2A,477,391,47,6,7,0,0,0,0,0,0,2,0
Cooper #3A,765,762,88,8,28,0,0,0,0,0,0,11,0
Cooper #4A,1026,617,74,6,5,1,0,0,0,0,0,7,0
Cooper #5A,155,210,25,0,8,1,0,0,0,0,0,0,0
Kalamazoo #1,117,124,12,1,8,0,0,0,0,0,0,0,0
Kalamazoo #2A,301,399,33,4,15,1,0,0,0,0,0,0,0
Kalamazoo #3,617,1064,73,7,27,1,0,0,0,0,1,3,0
Kalamazoo #4,140,422,19,0,15,1,0,0,0,0,0,0,0
Kalamazoo #5,365,954,69,3,19,1,0,0,0,0,0,5,0
Kalamazoo #7,273,638,39,4,21,0,0,0,0,0,0,3,0
Kalamazoo #8,85,310,15,2,3,1,0,0,0,0,0,0,0
Kalamazoo #9A,657,888,71,3,21,0,0,0,1,0,1,2,0
Kalamazoo #10A,285,641,43,11,21,1,0,0,0,0,0,0,0
Kalamazoo #11,196,473,43,10,14,1,0,0,0,0,0,2,0
Kalamazoo #12,296,793,44,3,16,0,0,0,0,0,0,1,0
Oshtemo #1,547,398,40,8,9,1,0,0,0,0,0,2,0
Oshtemo #2,762,787,80,9,10,0,0,0,0,0,0,8,0
Oshtemo #3,413,717,43,1,11,0,0,0,0,0,0,1,0
Oshtemo #4,439,771,60,6,14,2,0,0,0,0,0,4,0
Oshtemo #5,173,718,42,1,21,2,0,0,0,0,0,3,0
Oshtemo #6,377,640,57,3,13,0,0,0,0,0,0,1,0
Oshtemo #7,390,619,39,4,15,0,0,0,0,0,0,5,0
Oshtemo #8,272,424,34,0,17,0,0,0,0,0,0,0,0
Oshtemo #9,529,924,55,3,19,0,0,0,0,0,0,6,0
Oshtemo #10,291,296,26,4,11,0,0,0,0,0,0,2,0
Pavilion #1,806,536,68,3,14,0,0,0,0,0,2,2,0
Pavilion #2A,484,274,35,3,8,0,0,0,0,0,0,0,0
Pavilion #3A,409,374,35,6,15,1,0,0,0,0,0,0,0
Prairie Ronde #1A,874,435,58,3,13,0,0,1,0,0,1,1,0
Richland #1,930,684,81,6,9,0,0,0,0,0,0,7,0
Richland #2,611,458,65,2,4,0,0,0,0,0,0,0,0
Richland #3,830,765,85,2,13,3,0,0,0,0,0,5,0
Ross #1A,834,554,79,6,14,0,0,0,1,0,0,1,0
Ross #2,885,604,40,2,4,1,0,0,0,0,0,6,0
Schoolcraft #1,582,467,49,2,10,2,0,0,0,0,0,2,0
Schoolcraft #2,429,287,27,1,7,0,0,0,0,0,0,0,0
Schoolcraft #3,917,680,85,3,18,0,0,0,0,0,0,2,0
Schoolcraft #4,524,295,20,5,5,0,0,0,0,0,0,0,0
Texas #1,840,575,60,4,10,0,0,0,0,0,0,4,0
Texas #2,790,562,61,4,13,0,0,0,0,0,0,6,0
Texas #3,509,571,50,1,4,1,0,0,0,0,0,1,0
Texas #4,848,839,73,3,5,0,0,0,0,0,0,0,0
Texas #5A,857,855,76,6,16,0,0,0,0,0,2,7,0
Texas #6,928,722,75,9,7,0,0,0,0,0,0,0,0
Wakeshma #1A,430,161,31,3,5,1,0,0,0,0,0,0,0
City of Galesburg,395,281,36,2,13,0,0,0,0,0,0,0,0
City of Kalamazoo #1,141,747,34,0,24,3,0,0,0,0,0,1,0
City of Kalamazoo #2,398,1438,116,2,52,0,0,0,0,0,0,1,0
City of Kalamazoo #3,133,870,53,2,45,3,0,0,0,0,0,0,0
City of Kalamazoo #4,292,461,73,0,21,0,0,0,0,0,0,0,0
City of Kalamazoo #5,348,1088,92,0,30,0,0,0,0,0,0,4,0
City of Kalamazoo #6,343,843,47,2,19,0,0,0,0,0,0,3,0
City of Kalamazoo #7,106,1008,40,4,40,0,0,0,0,0,0,0,0
City of Kalamazoo #8,43,803,13,1,9,1,0,0,0,0,0,0,0
City of Kalamazoo #9,31,913,6,1,5,0,0,0,0,0,0,0,0
City of Kalamazoo #10A,432,899,78,6,25,3,0,0,0,0,1,6,0
City of Kalamazoo #11,73,720,16,0,14,1,0,0,0,0,0,0,0
City of Kalamazoo #12,385,830,60,2,27,2,0,0,0,0,0,7,0
City of Kalamazoo #13,126,483,16,1,17,4,0,0,0,0,0,0,0
City of Kalamazoo #14,124,537,25,3,16,1,0,0,0,1,0,0,0
City of Kalamazoo #15,211,815,39,4,21,4,0,0,0,0,0,3,0
City of Kalamazoo #16,377,859,66,9,20,0,0,0,0,0,1,10,0
City of Kalamazoo #17A,335,710,50,2,15,1,0,0,0,0,0,0,0
City of Kalamazoo #18,325,682,51,2,22,2,0,0,0,0,0,3,0
City of Kalamazoo #19,367,950,86,1,28,0,0,0,0,0,0,6,0
City of Kalamazoo #20,348,1168,73,3,20,1,0,0,0,0,0,5,0
City of Kalamazoo #21,202,786,30,1,13,0,0,0,0,0,0,2,0
City of Kalamazoo #22,316,1034,53,5,22,2,0,0,0,0,0,1,0
City of Kalamazoo #23,184,486,34,3,18,0,0,0,0,0,0,0,0
City of Kalamazoo #24,131,561,27,6,18,1,0,0,0,0,0,0,0
City of Kalamazoo #25A,337,703,51,5,8,0,0,0,0,0,0,2,0
City of Kalamazoo #26A,343,841,46,7,13,1,0,0,0,0,0,0,0
City of Kalamazoo #27,71,493,23,0,24,3,0,0,0,0,0,0,0
City of Parchment,353,487,55,6,16,0,0,0,0,0,0,0,0
City of Portage #1,348,604,44,12,17,0,0,0,0,0,1,1,0
City of Portage #2A,326,500,60,6,21,0,0,0,0,0,0,2,0
City of Portage #3,626,627,61,6,17,0,0,0,0,0,0,3,0
City of Portage #4A,594,518,49,2,13,0,0,0,0,0,1,1,0
City of Portage #5,505,468,55,3,16,0,0,0,0,0,0,10,0
City of Portage #6,696,611,73,7,16,0,0,0,0,0,0,14,0
