precinct_name,dem,rep,lib,grn,non,w1
Alamo Twp. 1,271,617,26,13,2,0
Alamo Twp. 2,464,1017,26,13,3,0
Brady Twp. 1,444,1004,29,14,0,0
Brady Twp. 2,310,899,36,17,3,0
Charleston Twp. 1,353,764,30,25,0,0
Climax Twp. 1,356,963,25,12,3,0
Comstock Twp. 1,488,967,47,21,0,0
Comstock Twp. 2,602,737,45,33,3,0
Comstock Twp. 3,500,734,43,17,3,0
Comstock Twp. 4,454,715,29,5,2,0
Comstock Twp. 5,529,639,25,15,2,0
Comstock Twp. 6,385,560,22,10,0,0
Comstock Twp. 7,603,367,34,19,1,0
Cooper Twp. 1,309,495,21,7,2,0
Cooper Twp. 2,385,612,28,13,0,0
Cooper Twp. 3,791,1021,46,26,1,0
Cooper Twp. 4,649,1268,48,25,0,0
Cooper Twp. 5,272,185,13,9,1,0
Kalamazoo Twp. 1,127,153,18,8,1,0
Kalamazoo Twp. 2,449,365,25,13,1,0
Kalamazoo Twp. 3,1259,734,49,28,2,0
Kalamazoo Twp. 4,917,319,21,18,2,0
Kalamazoo Twp. 5,682,352,25,11,3,0
Kalamazoo Twp. 6,893,304,31,14,1,0
Kalamazoo Twp. 7,971,831,40,17,4,0
Kalamazoo Twp. 8,666,402,33,28,7,0
Kalamazoo Twp. 9,512,274,22,28,2,0
Kalamazoo Twp. 10,864,439,34,18,2,0
Oshtemo Twp. 1,435,668,27,4,1,0
Oshtemo Twp. 2,827,1050,48,17,1,0
Oshtemo Twp. 3,760,556,24,4,1,0
Oshtemo Twp. 4,798,537,23,17,1,0
Oshtemo Twp. 5,769,257,29,13,1,0
Oshtemo Twp. 6,708,497,16,9,1,0
Oshtemo Twp. 7,656,497,22,14,1,0
Oshtemo Twp. 8,433,355,21,3,1,0
Oshtemo Twp. 9,971,781,42,19,0,0
Oshtemo Twp. 10,303,376,19,10,2,0
Pavilion Twp. 1,548,1018,35,13,3,0
Pavilion Twp. 2,238,626,16,12,3,0
Pavilion Twp. 3,397,555,21,26,2,0
Prairie Ronde Twp. 1,455,1048,52,12,3,0
Richland Twp. 1,780,1167,60,22,2,0
Richland Twp. 2,502,810,33,12,2,0
Richland Twp. 3,782,1106,51,13,1,0
Ross Twp. 1,549,1057,50,24,2,0
Ross Twp. 2,598,1053,38,7,0,0
Schoolcraft Twp. 1,443,797,30,9,1,0
Schoolcraft Twp. 2,296,528,25,11,1,0
Schoolcraft Twp. 3,856,1197,81,24,2,0
Schoolcraft Twp. 4,304,681,25,7,1,0
Texas Twp. 1,644,1111,46,9,4,0
Texas Twp. 2,568,1029,16,8,4,0
Texas Twp. 3,671,664,20,10,3,0
Texas Twp. 4,1031,1078,26,14,0,0
Texas Twp. 5,981,1082,35,16,1,0
Texas Twp. 6,793,1194,50,10,1,0
Wakeshma Twp. 1,167,533,18,2,2,0
Galesburg City 1,337,459,17,22,3,0
Kalamazoo City 1,862,231,24,17,3,0
Kalamazoo City 2,736,192,20,20,7,0
Kalamazoo City 3,967,165,30,38,3,0
Kalamazoo City 4,469,225,14,13,2,0
Kalamazoo City 5,1394,534,42,30,2,0
Kalamazoo City 6,935,477,22,11,2,0
Kalamazoo City 7,912,145,22,18,6,0
Kalamazoo City 8,758,106,11,15,9,0
Kalamazoo City 9,848,104,13,10,13,0
Kalamazoo City 10,980,548,51,27,1,0
Kalamazoo City 11,708,146,16,15,6,0
Kalamazoo City 12,973,481,30,13,0,0
Kalamazoo City 13,457,150,18,13,6,0
Kalamazoo City 14,553,172,21,17,1,0
Kalamazoo City 15,889,294,33,41,10,0
Kalamazoo City 16,949,464,29,23,2,0
Kalamazoo City 17,785,452,29,12,3,0
Kalamazoo City 18,758,420,34,9,2,0
Kalamazoo City 19,979,463,47,24,6,0
Kalamazoo City 20,1277,420,23,18,0,0
Kalamazoo City 21,908,281,8,7,1,0
Kalamazoo City 22,1205,371,24,16,4,0
Kalamazoo City 23,507,254,18,17,1,0
Kalamazoo City 24,655,167,14,17,3,0
Kalamazoo City 25,773,413,25,8,2,0
Kalamazoo City 26,917,468,18,16,1,0
Kalamazoo City 27,565,109,15,14,6,0
Parchment City 1,523,491,26,14,1,0
Portage City 1,620,457,31,13,2,0
Portage City 2,486,418,35,30,2,0
Portage City 3,729,833,30,14,4,0
Portage City 4,543,789,24,7,1,0
Portage City 5,532,638,39,11,1,0
Portage City 6,703,854,39,16,1,0
Portage City 7,460,281,26,14,1,0
Portage City 8,808,699,24,7,2,0
Portage City 9,648,601,31,15,1,0
Portage City 10,670,958,44,26,3,0
Portage City 11,930,794,35,21,0,0
Portage City 12,800,931,44,9,2,0
Portage City 13,1062,1116,51,22,2,0
Portage City 14,680,652,23,12,1,0
Portage City 15,746,611,30,17,2,0
Portage City 16,959,886,52,10,2,0
Portage City 17,665,836,28,10,3,0
Portage City 18,731,765,23,8,2,0
Portage City 19,717,594,33,20,1,0
Portage City 20,666,499,38,17,2,0
