precinct_name,biden,trump,jorgensen,blankenship,hawkins,de_la_fuente,w1,w2,w3,w4,w5,w6
Alamo Twp. 1,342,576,15,3,3,0,2,0,0,0,0,0
Alamo Twp. 2,588,915,23,5,5,0,2,0,0,0,0,0
Brady Twp. 1,561,936,23,3,4,0,1,0,0,0,0,0
Brady Twp. 2,416,843,19,3,6,0,1,0,0,0,0,0
Charleston Twp. 1,416,746,20,5,8,2,2,0,0,0,0,0
Climax Twp. 1,459,902,15,3,1,1,2,0,0,0,0,0
Comstock Twp. 1,625,881,28,5,2,2,3,0,0,0,0,0
Comstock Twp. 2,702,696,29,2,8,1,3,0,0,0,0,0
Comstock Twp. 3,569,718,20,2,5,2,2,0,0,0,0,0
Comstock Twp. 4,590,595,20,1,6,2,2,0,0,0,0,0
Comstock Twp. 5,684,538,17,1,1,1,0,0,0,0,0,0
Comstock Twp. 6,487,486,11,2,1,1,0,0,0,0,0,0
Comstock Twp. 7,678,328,29,1,4,1,3,0,0,0,0,0
Cooper Twp. 1,367,459,13,4,1,0,3,0,0,0,0,0
Cooper Twp. 2,482,536,18,2,6,0,3,0,0,0,0,0
Cooper Twp. 3,964,899,35,4,4,2,4,0,0,0,0,0
Cooper Twp. 4,823,1141,27,7,5,0,7,0,0,0,0,0
Cooper Twp. 5,310,165,9,0,3,0,2,0,0,0,0,0
Kalamazoo Twp. 1,148,154,5,1,4,0,1,0,0,0,0,0
Kalamazoo Twp. 2,490,347,16,3,4,2,0,0,0,0,0,0
Kalamazoo Twp. 3,1410,635,30,0,9,0,11,0,0,0,0,0
Kalamazoo Twp. 4,977,278,20,1,6,0,3,0,0,0,0,0
Kalamazoo Twp. 5,760,307,10,2,4,1,0,0,0,0,0,0
Kalamazoo Twp. 6,987,258,22,0,1,0,1,0,0,0,0,0
Kalamazoo Twp. 7,1137,702,24,4,9,1,6,0,0,0,0,0
Kalamazoo Twp. 8,771,336,19,2,9,2,5,0,0,0,0,0
Kalamazoo Twp. 9,572,249,16,3,5,0,1,0,0,0,0,0
Kalamazoo Twp. 10,969,375,13,3,8,1,1,0,0,0,0,0
Oshtemo Twp. 1,518,602,18,3,3,1,1,0,0,0,0,0
Oshtemo Twp. 2,1015,907,31,3,3,2,2,0,0,0,0,0
Oshtemo Twp. 3,886,451,8,1,4,0,5,0,0,0,0,0
Oshtemo Twp. 4,944,412,21,2,3,0,2,0,0,0,0,0
Oshtemo Twp. 5,843,224,15,1,3,3,2,0,0,0,0,0
Oshtemo Twp. 6,829,396,13,2,3,1,1,0,0,0,0,0
Oshtemo Twp. 7,759,422,11,3,4,0,3,0,0,0,0,0
Oshtemo Twp. 8,508,292,13,1,4,0,2,0,0,0,0,0
Oshtemo Twp. 9,1134,673,22,1,3,0,7,0,0,0,0,0
Oshtemo Twp. 10,379,330,8,1,1,1,0,0,0,0,0,0
Pavilion Twp. 1,710,916,18,4,1,3,3,0,0,0,0,0
Pavilion Twp. 2,302,590,12,2,2,0,0,0,0,0,0,0
Pavilion Twp. 3,478,503,21,3,6,0,3,0,0,0,0,0
Prairie Ronde Twp. 1,577,968,23,3,7,0,3,0,0,0,0,0
Richland Twp. 1,946,1078,35,1,5,1,4,0,0,0,0,0
Richland Twp. 2,611,728,20,2,4,0,5,0,0,0,0,0
Richland Twp. 3,969,976,36,2,3,0,5,0,0,0,0,0
