precinct_name,dem,rep,lib,ust,wcp,grn,nlp
Alamo Twp. 1,142,319,4,0,0,1,0
Alamo Twp. 2,252,556,4,1,3,2,0
Brady Twp. 1,219,534,6,0,5,1,1
Brady Twp. 2,178,497,2,0,1,0,2
Charleston Twp. 1,202,421,2,1,2,4,0
Climax Twp. 1,193,498,5,0,3,1,1
Comstock Twp. 1,304,482,3,0,5,2,0
Comstock Twp. 2,389,368,7,4,4,4,3
Comstock Twp. 3,313,388,6,2,6,2,0
Comstock Twp. 4,245,328,6,0,1,1,0
Comstock Twp. 5,269,265,6,0,2,0,1
Comstock Twp. 6,236,242,3,1,4,2,0
Comstock Twp. 7,389,186,13,0,2,3,1
Cooper Twp. 1,157,268,2,1,3,1,0
Cooper Twp. 2,196,307,4,0,2,2,0
Cooper Twp. 3,474,457,7,3,9,2,1
Cooper Twp. 4,330,666,2,2,6,1,1
Cooper Twp. 5,161,90,2,0,2,2,0
Kalamazoo Twp. 1,101,91,4,5,4,2,0
Kalamazoo Twp. 2,295,206,5,5,4,0,0
Kalamazoo Twp. 3,756,369,7,1,3,2,0
Kalamazoo Twp. 4,524,150,5,2,4,1,0
Kalamazoo Twp. 5,364,150,0,0,4,1,1
Kalamazoo Twp. 6,560,139,7,0,2,2,0
Kalamazoo Twp. 7,540,389,5,2,6,0,0
Kalamazoo Twp. 8,479,202,13,0,7,5,2
Kalamazoo Twp. 9,367,139,3,2,4,4,0
Kalamazoo Twp. 10,613,214,6,2,3,0,2
Oshtemo Twp. 1,239,319,3,1,0,1,0
Oshtemo Twp. 2,470,480,11,0,0,2,1
Oshtemo Twp. 3,375,214,1,0,1,0,1
Oshtemo Twp. 4,475,237,8,0,3,1,1
Oshtemo Twp. 5,571,124,12,0,8,0,2
Oshtemo Twp. 6,485,230,5,1,1,2,1
Oshtemo Twp. 7,440,252,1,1,3,3,1
Oshtemo Twp. 8,300,173,3,1,1,0,0
Oshtemo Twp. 9,614,362,3,0,3,2,1
Oshtemo Twp. 10,155,167,0,0,0,0,0
Pavilion Twp. 1,281,471,2,2,9,0,0
Pavilion Twp. 2,130,333,0,1,2,2,0
Pavilion Twp. 3,237,285,4,1,3,1,2
Prairie Ronde Twp. 1,194,515,4,0,3,1,0
Richland Twp. 1,446,601,5,1,0,4,1
Richland Twp. 2,252,426,4,1,0,1,0
Richland Twp. 3,423,568,9,0,2,0,0
Ross Twp. 1,279,543,5,1,2,3,0
Ross Twp. 2,287,558,4,0,0,3,0
Schoolcraft Twp. 1,246,442,2,0,1,0,0
Schoolcraft Twp. 2,176,252,1,0,3,1,0
Schoolcraft Twp. 3,436,601,9,0,4,4,0
Schoolcraft Twp. 4,154,357,6,0,3,0,1
Texas Twp. 1,314,549,5,0,2,1,0
Texas Twp. 2,285,446,0,1,1,0,0
Texas Twp. 3,379,328,5,0,0,2,1
Texas Twp. 4,542,467,3,0,4,3,0
Texas Twp. 5,526,487,4,1,1,1,0
Texas Twp. 6,393,580,10,1,3,3,0
Wakeshma Twp. 1,98,287,1,0,3,0,1
Galesburg City 1,214,262,3,0,4,2,0
Kalamazoo City 1,532,115,5,1,1,3,1
Kalamazoo City 2,537,118,11,0,5,8,0
Kalamazoo City 3,591,79,10,2,5,8,2
Kalamazoo City 4,335,145,8,0,1,4,0
Kalamazoo City 5,867,250,15,1,4,9,1
Kalamazoo City 6,597,215,5,1,1,2,0
Kalamazoo City 7,586,76,2,1,8,3,4
Kalamazoo City 8,593,38,3,1,3,3,1
Kalamazoo City 9,758,32,2,2,7,3,1
Kalamazoo City 10,693,292,6,5,12,7,1
Kalamazoo City 11,567,56,3,1,7,5,2
Kalamazoo City 12,525,240,2,0,3,3,1
Kalamazoo City 13,370,77,5,4,10,4,1
Kalamazoo City 14,407,74,2,0,4,2,4
Kalamazoo City 15,629,149,9,4,7,5,2
Kalamazoo City 16,529,195,4,2,4,4,1
Kalamazoo City 17,473,207,4,2,5,5,1
Kalamazoo City 18,453,205,5,1,3,4,0
Kalamazoo City 19,646,241,12,1,4,5,1
Kalamazoo City 20,702,195,3,1,2,3,1
Kalamazoo City 21,464,124,5,0,0,0,0
Kalamazoo City 22,767,170,8,5,1,2,2
Kalamazoo City 23,325,129,7,2,3,2,0
Kalamazoo City 24,375,82,3,1,2,3,0
Kalamazoo City 25,405,194,11,0,1,0,1
Kalamazoo City 26,547,242,7,0,1,4,1
Kalamazoo City 27,333,48,5,1,0,2,1
Parchment City 1,316,229,4,0,2,0,1
Portage City 1,410,234,8,3,3,2,0
Portage City 2,331,218,7,2,7,2,1
Portage City 3,480,418,5,2,4,1,2
Portage City 4,286,413,6,9,3,2,0
Portage City 5,308,285,5,1,0,2,0
Portage City 6,371,382,6,1,2,1,0
Portage City 7,320,149,3,0,5,1,0
Portage City 8,446,317,3,1,4,1,0
Portage City 9,359,284,4,3,1,2,1
Portage City 10,360,469,5,0,3,3,0
Portage City 11,517,352,8,3,1,4,0
Portage City 12,489,410,7,0,1,0,1
Portage City 13,613,520,8,0,4,1,1
Portage City 14,367,289,3,5,4,2,0
Portage City 15,446,306,4,1,2,5,3
Portage City 16,588,394,12,1,1,3,1
Portage City 17,351,372,6,1,1,0,1
Portage City 18,398,350,3,1,3,0,0
Portage City 19,418,256,6,1,3,3,0
Portage City 20,395,230,7,1,4,3,1
