precinct_name,reg,votes_cast,turnout,biden,trump,jorgensen,blankenship,hawkins,de_la_fuente,wt,w1,w2,w3,w4,w5,w6
Bainbridge Township Precinct 1,2225,1640,73.71%,413,1191,18,1,4,0,4,2,0,0,0,0,2
Baroda Township Precinct 1,2348,1653,70.4%,502,1100,32,8,3,1,4,1,0,0,0,0,3
Benton Charter Township Precinct 1,3014,1429,47.41%,804,586,17,2,4,1,4,0,0,0,0,0,4
Benton Charter Township Precinct 2,2204,768,34.85%,566,185,6,0,0,2,4,0,0,0,0,0,4
Benton Charter Township Precinct 3,1207,759,62.88%,482,260,13,0,1,0,0,0,0,0,0,0,0
Benton Charter Township Precinct 4,1684,988,58.67%,580,385,11,3,2,0,2,0,0,0,0,0,2
Benton Charter Township Precinct 5,2607,1183,45.38%,731,420,11,1,2,1,0,0,0,0,0,0,0
Benton Charter Township Precinct 6,2609,1143,43.81%,972,146,6,2,3,6,3,0,0,0,0,0,3
Berrien Township Precinct 1,2112,1516,71.78%,585,878,29,7,5,1,2,0,0,0,0,0,2
Berrien Township Precinct 2,1916,1190,62.11%,375,775,19,3,2,1,7,0,0,0,0,0,7
Bertrand Township Precinct 1,2422,1707,70.48%,584,1081,18,4,2,1,3,0,0,0,0,0,3
Buchanan Township Precinct 1,2941,2017,68.58%,667,1306,28,4,2,1,4,0,0,0,0,0,4
Chikaming Township Precinct 1,2894,2150,74.29%,1163,946,17,2,7,0,3,0,0,0,0,0,3
City of Benton Harbor Precinct 1,2506,945,37.71%,886,43,5,1,2,2,3,0,0,0,0,0,3
City of Benton Harbor Precinct 2,1796,601,33.46%,562,34,1,1,0,1,0,0,0,0,0,0,0
City of Benton Harbor Precinct 3,2450,976,39.84%,925,36,3,2,2,2,1,0,0,0,0,0,1
City of Benton Harbor Precinct 4,2408,890,36.96%,821,56,4,0,0,1,0,0,0,0,0,0,0
City of Bridgman Precinct 1,1855,1316,70.94%,575,708,15,2,5,0,3,2,0,0,0,0,1
